,INN_Name,BrandName,Phase,Applicants,LigID,pdbID,Type,RoF,MW,LogP,TPSA,HBA,HBD,NRB,Indications,Targets,Kinase_families,First_Approval,SC_Patent,Chirality,Synonyms,FDA_approved,Melting_points_C,Canonical_Smiles,InChIKey
10,Altiratinib,,1.0,Deciphera Pharmaceuticals,,,,1,510.2,5.0,109.4,5,3,8,,"['MET', 'TEK', 'KDR', 'NTRK1']",['Tyr'],,,Achiral Molecule,"['DCC-2701', 'Altiratinib', 'DP-5164']",,,c1cc(ccc1NC(=O)C2(CC2)C(=O)Nc3cc(c(cc3F)Oc4ccnc(c4)NC(=O)C5CC5)F)F,GNNDEPIMDAZHRQ-UHFFFAOYSA-N
11,Balamapimod,,1.0,Wyeth,,,,2,573.2,6.5,82.2,9,1,7,,"['RAF1', 'MAP2K1', 'MAP2K2']","['TKL', 'STE']",,,Achiral Molecule,"['MKI-833', 'Balamapimod']",,,Cn1ccnc1Sc2ccc(cc2Cl)Nc3c4cc(c(cc4ncc3C#N)N5CCC(CC5)N6CCCC6)OC,CVAKNHIXTWLGJO-UHFFFAOYSA-N
12,Lazertinib,,1.0,Genosco,,,,1,554.3,4.1,109.7,10,2,10,"Lazertinib (YH-25448, GNS-1480) is an inhibitor of the aberrant activity of EGFR mutant kinases, that was originally developed by Yuhan Corporation fo r antineoplastic potential in cancers with (acquired) resistance to existing EGFR tyrosine kinase inhibitors, in particular for EGFR mutation positive, advanced non-small cell lung cancer (NSCLC). In addition to predicted efficacy for the treatment of primary lung and extracranial lesions, lazertinib is expected to be beneficial for NSCLC brain metastases as it is able to cross the blood brain barrier.",,,,,,[],,,CN(C)Cc1cn(nc1c2ccccc2)c3ccnc(n3)Nc4cc(c(cc4OC)N5CCOCC5)NC(=O)C=C,RRMJMHOQSALEJJ-UHFFFAOYSA-N
13,Allitinib,,1.0,Allist Pharmaceuticals,,,,1,448.1,5.9,76.1,5,2,7,,"['ERBB2', 'EGFR']",['Tyr'],,,,"['AST-1306', 'ALL-3']",,,C=CC(=O)Nc1ccc2c(c1)c(ncn2)Nc3ccc(c(c3)Cl)OCc4cccc(c4)F,MVZGYPSXNDCANY-UHFFFAOYSA-N
14,Ravoxertinib,,1.0,Genentech,6QB,"['5k4i', '5k4j', '6oph']",,0,440.1,3.2,97.9,8,2,6,,,,,,Single Stereoisomer,"['Ravoxertinib', 'RG-7842', 'GDC-0994']",,,Cn1c(ccn1)Nc2nccc(n2)c3ccn(c(=O)c3)[C@H](CO)c4ccc(c(c4)F)Cl,RZUOCXOYPYGSKL-GOSISDBHSA-N
15,Pexmetinib,,1.0,Array BioPharma,,,,2,556.3,6.1,106.2,7,3,8,,"['MAPK14', 'TEK']","['Tyr', 'CMGC']",,,Single Stereoisomer,[],,,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)NCc3cc(ccc3Oc4ccc5c(c4)cnn5CCO)F,LNMRSSIMGCDUTP-UHFFFAOYSA-N
16,Henatinib,,1.0,Jiangsu Hengrui Medicine,,,,0,468.2,2.0,97.9,5,3,5,,['KDR'],['Tyr'],,,Single Stereoisomer,[],,,Cc1c([nH]c2c1C(=O)N(CCC2)C[C@@H](CN3CCOCC3)O)/C=C\4/c5cc(ccc5NC4=O)F,MCTXSDCWFQAGFS-UEXNTNOUSA-N
17,Cenisertib,,1.0,EMD Serono,,,,0,451.2,2.5,99.4,7,3,6,,"['AURKA', 'AURKB', 'AURKC']",['Other'],,,Racemic Mixture,"['R-763', 'AS-703569']",,,Cc1cc(ccc1N2CCN(CC2)C)Nc3ncc(c(n3)N[C@@H]4[C@@H]5C[C@H]([C@@H]4C(=O)N)C=C5)F,KSOVGRCOLZZTPF-QMKUDKLTSA-N
18,Mubritinib,,1.0,Takeda,,,,1,468.2,6.1,66.0,6,0,10,,"['EGFR', 'ERBB2']",['Tyr'],,,Achiral Molecule,"['TAK-165', 'Mubritinib']",,,c1cc(ccc1CCCCn2ccnn2)OCc3coc(n3)/C=C/c4ccc(cc4)C(F)(F)F,ZTFBIUXIQYRUNT-MDWZMJQESA-N
19,Tafetinib,,1.0,Nanjing Yoko Biomedical,,,,0,424.2,3.7,77.2,3,3,6,,"['KDR', 'FLT4', 'FLT1']",['Tyr'],,,,[],,,CCN(CC)CCNC(=O)c1c([nH]c\2c1CCC/C2=C/3\c4cc(ccc4NC3=O)F)C,KGSRYTUWXUESJK-FXBPSFAMSA-N
20,Omipalisib,,1.0,GlaxosmithKline,ZIG,['3l08'],1.0,1,505.1,4.8,107.0,7,1,6,,"['PIK3CA', 'MTOR']",['Atypical'],,,Achiral Molecule,"['Omipalisib', 'GSK2126458']",,,COc1c(cc(cn1)c2ccc3c(c2)c(ccn3)c4ccnnc4)NS(=O)(=O)c5ccc(cc5F)F,CGBJSGAELGCMKE-UHFFFAOYSA-N
21,Pralsetinib,,1.5,Blueprint Medicines,,,,1,533.3,4.2,135.5,9,3,8,"Pralsetinib, also known as BLU-667, is a highly potent, selective, next generation RET inhibitor. BLU-667 is a potent and selective inhibitor of RET m utations, fusions, and predicted resistant mutants. RET fusions are key drivers of multiple cancers, including lung and thyroid cancer, and our research suggests that RET also plays a key role in some colon and breast cancers. By simultaneously targeting the primary driver and predicted resistant mutants that render cancer cells insensitive to treatment with currently approved drugs",,,,,,['BLU-667'],,,Cc1[nH]nc(c1)Nc2nc(nc(c2)C)[C@H]3CC[C@@](CC3)(OC)C(=O)N[C@H](c4cnc(cc4)n5ncc(c5)F)C,GBLBJPZSROAGMF-BATDWUPUSA-N
22,Derazantinib,,1.5,ArQule,,,,1,468.2,5.5,59.1,5,2,9,"Derazantinib (ARQ087) is an orally bioavailable, non-selective FGFR inhibitor being investigated for antineoplastic activity.",,,,,,[],,,COCCNCCc1cccc(c1)Nc2ncc3c(n2)-c4ccccc4[C@@H](C3)c5ccccc5F,KPJDVVCDVBFRMU-AREMUKBSSA-N
23,Vactosertib,,1.5,MedPacto,,,,0,399.2,4.2,83.8,6,2,5,"Vactosertib (EW-7197) acts as in inhibitor of transforming growth factor beta receptor 1B (ALK5) and activin A receptor type IB (ALK4). The compound i s potent, selective, and orally bioavailable, and exhibits experimental anti-tumour activity.",,,,,,[],,,Cc1cccc(n1)c2c(nc([nH]2)CNc3ccccc3F)c4ccc5ncnn5c4,FJCDSQATIJKQKA-UHFFFAOYSA-N
24,Ningetinib,,1.5,HEC Pharm,,,,2,556.2,5.4,107.6,8,2,8,"Ningetinib, also known as CT-053 or DE-120, is a VEGF and PDGF inhibitor potentially for the treatment of wet age-related macular degeneration.",,,,,,['NINGETINIB'],,,Cc1c(c(=O)n(n1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OCC(C)(C)O,VQYYQSZNRVQLIS-UHFFFAOYSA-N
25,Voruciclib,,2.0,Piramal Enterprises,,,,0,469.1,4.3,94.1,6,3,3,,['CDK4'],['CMGC'],,,Single Stereoisomer,[],,,CN1CC[C@H]([C@@H]1CO)c2c(cc(c3c2oc(cc3=O)c4ccc(cc4Cl)C(F)(F)F)O)O,MRPGRAKIAJJGMM-OCCSQVGLSA-N
26,Tomivosertib,,2.0,Effector Therapeutics,N45,['6ck6'],,0,340.2,1.6,114.9,7,3,2,"Tomivosertib, also known as eFT508 is a MNK1/2 inhibitor. Tomivosertib binds to and inhibits the activity of MNK1 and 2. This prevents MNK1/2-mediated  signaling, and inhibits the phosphorylation of certain regulatory proteins, including eukaryotic translation initiation factor 4E (eIF4E), that regulate the translation of messenger RNAs (mRNAs) involved in tumor cell proliferation, angiogenesis, survival and immune signaling",,,,,,"['NK1', 'AND', 'MNK2']",,,Cc1cc(c(=O)n2c1C(=O)NC23CCCCC3)Nc4cc(ncn4)N,HKTBYUWLRDZAJK-UHFFFAOYSA-N
27,Ulixertinib,,2.0,BioMed Valley Discoveries,EVK,['6gdq'],,0,432.1,4.7,90.0,4,4,7,,"['MAPK1', 'MAPK3']",['CMGC'],,,Single Stereoisomer,"['VRT752271', 'VRT-752271', 'BVD-523']",,,CC(C)Nc1cc(c(cn1)Cl)c2cc([nH]c2)C(=O)N[C@H](CO)c3cccc(c3)Cl,KSERXGMCDHOLSS-LJQANCHMSA-N
28,Uprosertib,,2.0,GlaxoSmithKline,,,,0,428.1,3.6,86.1,5,2,6,,"['AKT1', 'AKT2', 'AKT3']",['AGC'],,,Single Stereoisomer,"['Uprosertib', 'GSK2141795C', 'GSK2141795']",,,Cn1c(c(cn1)Cl)c2cc(oc2Cl)C(=O)N[C@@H](Cc3ccc(c(c3)F)F)CN,AXTAPYRUEKNRBA-JTQLQIEISA-N
29,Ceralasertib,,2.0,Astrazeneca,,,,0,412.2,2.9,107.8,7,2,4,"Ceralasertib, also known as AZD6738, is an orally available morpholino-pyrimidine-based inhibitor of ataxia telangiectasia and rad3 related (ATR) kina se, with potential antineoplastic activity. Upon oral administration, ATR kinase inhibitor Ceralasertib selectively inhibits ATR activity by blocking the downstream phosphorylation of the serine/threonine protein kinase CHK1. This prevents ATR-mediated signaling, and results in the inhibition of DNA damage checkpoint activation, disruption of DNA damage repair, and the induction of tumor cell apoptosis.",,,,,,['AZD6738'],,,CC1COCCN1c2cc(nc(n2)c3cncc4c3cc[nH]4)C5(CC5)S(=N)(=O)C,DTTJKLNXNZAVSM-UHFFFAOYSA-N
30,Vistusertib,,2.0,Astrazeneca,,,,0,462.2,2.5,92.7,8,1,4,,['MTOR'],['Atypical'],,,Single Stereoisomer,"['AZD-2014', 'AZD2014', 'Vistusertib']",,,C[C@H]1COCCN1c2c3ccc(nc3nc(n2)N4CCOC[C@@H]4C)c5cccc(c5)C(=O)NC,JUSFANSTBFGBAF-IRXDYDNUSA-N
31,Selonsertib,,2.0,Gilead Sciences,NJV,['6oyt'],,0,445.2,4.7,90.5,7,1,6,,['MAP3K5'],['STE'],,,Achiral Molecule,"['GS-4997', 'Selonsertib']",,,Cc1cc(c(cc1n2cc(nc2)C3CC3)C(=O)Nc4cccc(n4)c5nncn5C(C)C)F,YIDDLAAKOYYGJG-UHFFFAOYSA-N
32,Pamapimod,,2.0,Hoffmann-La Roche,FLW,['3flw'],1.0,0,406.1,1.9,109.5,8,3,8,,"['MAPK14', 'MAPK11']",['CMGC'],,,Achiral Molecule,"['R-1503', 'JTT-705', 'Pamapimod', 'Ro-4402257']",,,Cn1c2c(cc(c1=O)Oc3ccc(cc3F)F)cnc(n2)NC(CCO)CCO,JYYLVUFNAHSSFE-UHFFFAOYSA-N
33,Berzosertib,,2.0,Vertex Pharmaceuticals,,,,0,463.2,3.9,124.0,8,2,7,,,,,,Achiral Molecule,"['VX-970', 'Berzosertib']",,,CC(C)S(=O)(=O)c1ccc(cc1)c2cnc(c(n2)c3cc(no3)c4ccc(cc4)CNC)N,JZCWLJDSIRUGIN-UHFFFAOYSA-N
34,Dilmapimod,,2.0,GlaxoSmithKline,,,,0,456.1,2.9,100.3,7,3,6,"Dilmapimod has been used in trials studying the treatment and diagnostic of Nerve Trauma, Inflammation, Pain, Neuropathic, Arthritis, Rheumatoid, and  Coronary Heart Disease, among others.","['MAPK14', 'MAPK11', 'MAPK13', 'MAPK12']",['CMGC'],,,Achiral Molecule,"['Dilmapimod', 'GW681323', 'SB-681323']",,,Cc1cc(ccc1c2c3ccc(=O)n(c3nc(n2)NC(CO)CO)c4c(cccc4F)F)F,ORVNHOYNEHYKJG-UHFFFAOYSA-N
35,Spebrutinib,,2.0,Celgene,,,,0,423.2,4.3,97.4,7,3,10,,['BTK'],['Tyr'],,,Achiral Molecule,"['CC-292', 'AVL-292', 'Spebrutinib']",,,COCCOc1ccc(cc1)Nc2ncc(c(n2)Nc3cccc(c3)NC(=O)C=C)F,KXBDTLQSDKGAEB-UHFFFAOYSA-N
36,Riviciclib,,2.0,Piramal Enterprises,,,,0,401.1,3.3,94.1,6,3,3,,"['CDK1', 'CDK4', 'CDK9']",['CMGC'],,,Racemic Mixture,[],,,CN1CC[C@H]([C@@H]1CO)c2c(cc(c3c2oc(cc3=O)c4ccccc4Cl)O)O,QLUYMIVVAYRECT-OCCSQVGLSA-N
37,Neflamapimod,,2.0,EIP Pharma,52P,"['3fc1', '3hp5', '3zsi']",,1,435.0,5.5,47.3,5,0,3,,['MAPK14'],['CMGC'],,,Achiral Molecule,"['Neflamapimod', 'VD-31', 'VRT-031745', 'VX-745', '745']",,,c1cc(c(c(c1)Cl)c2c3ccc(nn3cnc2=O)Sc4ccc(cc4F)F)Cl,VEPKQEUBKLEPRA-UHFFFAOYSA-N
38,Gandotinib,,2.0,Eli Lilly,,,,0,469.2,4.0,83.4,7,2,6,,['JAK2'],['Tyr'],,,Achiral Molecule,"['LY-2784544', 'Gandotinib']",,,Cc1cc(n[nH]1)Nc2cc(c3nc(c(n3n2)Cc4ccc(cc4F)Cl)C)CN5CCOCC5,SQSZANZGUXWJEA-UHFFFAOYSA-N
39,Apitolisib,,2.0,Hoffmann-La Roche,980,['3tl5'],,1,498.2,0.9,133.8,11,2,5,,"['PIK3CA', 'MTOR']",['Atypical'],,,Single Stereoisomer,"['GDC-0980.1', 'RG-7422', 'G-038390.1', 'GDC-0980', 'Apitolisib', 'G-038390']",,,Cc1c(sc2c1nc(nc2N3CCOCC3)c4cnc(nc4)N)CN5CCN(CC5)C(=O)[C@H](C)O,YOVVNQKCSKSHKT-HNNXBMFYSA-N
40,Rabusertib,,2.0,Eli Lilly,,,,0,435.1,2.9,97.4,6,3,5,,['CHEK1'],['CAMK'],,,Single Stereoisomer,"['Rabusertib', 'LY-2603618', 'IC-83']",,,Cc1cc(c(cc1Br)NC(=O)Nc2cnc(cn2)C)OC[C@@H]3CNCCO3,SYYBDNPGDKKJDU-ZDUSSCGKSA-N
41,Dactolisib,,2.0,Novartis,,,,1,469.2,5.9,76.5,6,0,3,,"['PIK3CA', 'PIK3CB', 'PIK3CG', 'PIK3CD', 'MTOR']",['Atypical'],,,Achiral Molecule,"['Dactolisib', 'NVP-BEZ235-NX', 'BEZ-235', 'NVP-BEZ235']",,,CC(C)(C#N)c1ccc(cc1)n2c3c4cc(ccc4ncc3n(c2=O)C)c5cc6ccccc6nc5,JOGKUKXHTYWRGZ-UHFFFAOYSA-N
42,Pictilisib,,2.0,Hoffmann-La Roche,GD9,"['2wxp', '2y3a', '3dbs']",1.0,1,513.2,2.1,107.6,9,1,5,,"['PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3CG']",['Atypical'],,,Achiral Molecule,"['RG-7321', 'GDC-0941', 'Pictilisib']",,,CS(=O)(=O)N1CCN(CC1)Cc2cc3c(s2)c(nc(n3)c4cccc5c4cn[nH]5)N6CCOCC6,LHNIIDJUOCFXAP-UHFFFAOYSA-N
43,Bimiralisib,,2.0,Piqur Therapeutics,A3W,['5oq4'],,0,411.2,1.0,103.2,8,2,3,"Bimiralisib (PQR309) is a novel dual inhibitor of phosphoinositol 3-kinase (PI3K) and mechanistic target of rapamycin (mTOR) kinases, with expected ut ility as an anti-cancer agent.",,,,,,"['PQR309', 'BIMIRALISIB']",,,c1c(c(c[nH]c1=N)c2nc(nc(n2)N3CCOCC3)N4CCOCC4)C(F)(F)F,ADGGYDAFIHSYFI-UHFFFAOYSA-N
44,Foretinib,,2.0,GlaxoSmithKline,88Z,"['3lq8', '5ia4', '6i2y', '6sd9', '6sdc']",2.0,2,632.2,5.8,111.2,8,2,12,,"['MET', 'KDR']",['Tyr'],,,Achiral Molecule,"['EXEL-2880', 'Foretinib', 'GSK1363089G', 'GSK1363089', 'GSK-1363089', 'XL-880', 'GSK089']",,,COc1cc2c(ccnc2cc1OCCCN3CCOCC3)Oc4ccc(cc4F)NC(=O)C5(CC5)C(=O)Nc6ccc(cc6)F,CXQHYVUVSFXTMY-UHFFFAOYSA-N
45,Afuresertib,,2.0,GlaxoSmithKline,,,,0,426.0,3.9,72.9,5,2,6,,"['AKT1', 'AKT2', 'AKT3']",['AGC'],,,Single Stereoisomer,"['GSK2110183', 'Afuresertib', 'GSK2110183C']",,,Cn1c(c(cn1)Cl)c2cc(sc2Cl)C(=O)N[C@@H](Cc3cccc(c3)F)CN,AFJRDFWMXUECEW-LBPRGKRZSA-N
46,Lucitanib,,2.0,Clovis Oncology,3ZC,['4rwl'],1.0,0,443.2,4.4,95.7,6,2,7,,"['FLT1', 'KDR', 'FLT4', 'FGFR1', 'FGFR2']",['Tyr'],,,Achiral Molecule,"['E-3810', 'CO-3810', 'Lucitanib', 'S-80881', 'AL-3810']",,,CNC(=O)c1cccc2c1ccc(c2)Oc3ccnc4c3cc(c(c4)OCC5(CC5)N)OC,CUDVHEFYRIWYQD-UHFFFAOYSA-N
47,Adavosertib,,2.0,Astrazeneca,8X7,"['5v5y', '5vd0', '5vdk']",1.0,1,500.3,2.9,104.3,10,2,7,,['WEE1'],['Other'],,,,"['AZD-1775', 'MK-1775']",,,CC(C)(c1cccc(n1)n2c3c(cnc(n3)Nc4ccc(cc4)N5CCN(CC5)C)c(=O)n2CC=C)O,BKWJAKQVGHWELA-UHFFFAOYSA-N
48,Defactinib,,2.0,Verastem,7KD,['5mah'],1.0,1,510.1,2.4,142.1,9,3,8,,"['PTK2', 'PTK2B']",['Tyr'],,,Achiral Molecule,"['PF-04554878', 'VS-6063', 'Defactinib']",,,CNC(=O)c1ccc(cc1)Nc2ncc(c(n2)NCc3c(nccn3)N(C)S(=O)(=O)C)C(F)(F)F,FWLMVFUGMHIOAA-UHFFFAOYSA-N
49,Bafetinib,,2.0,Innovive Pharmaceuticals,406,['2e2b'],2.0,2,576.3,5.4,99.2,8,2,8,,"['LYN', 'ABL1']",['Tyr'],,,Single Stereoisomer,"['CNS-9', 'Bafetinib', 'NS-187', 'INNO-406']",,,Cc1ccc(cc1Nc2nccc(n2)c3cncnc3)NC(=O)c4ccc(c(c4)C(F)(F)F)CN5CC[C@@H](C5)N(C)C,ZGBAJMQHJDFTQJ-DEOSSOPVSA-N
50,Merestinib,,2.0,Eli Lilly,L1X,['4eev'],2.0,2,552.2,5.7,106.8,7,2,6,,['MET'],['Tyr'],,,Achiral Molecule,"['Merestinib', 'LY-2801653']",,,Cc1ccc(c(=O)n1c2ccc(cc2)F)C(=O)Nc3ccc(c(c3)F)Oc4cc5cnn(c5cc4c6c[nH]nc6)C,QHADVLVFMKEIIP-UHFFFAOYSA-N
51,Entospletinib,,2.0,Gilead Sciences,CG9,['4puz'],1.0,0,411.2,3.9,83.4,7,2,4,,['SYK'],['Tyr'],,,Achiral Molecule,"['GS-9973', 'Entospletinib']",,,c1cc(ccc1Nc2c3nccn3cc(n2)c4ccc5cn[nH]c5c4)N6CCOCC6,XSMSNFMDVXXHGJ-UHFFFAOYSA-N
52,Galunisertib,,2.0,Eli Lilly,,,,0,369.2,3.5,86.7,5,1,3,,['TGFBR1'],['TKL'],,,Achiral Molecule,"['Galunisertib', 'LY-2157299']",,,Cc1cccc(n1)c2c(c3n(n2)CCC3)c4ccnc5c4cc(cc5)C(=O)N,IVRXNBXKWIJUQB-UHFFFAOYSA-N
53,Ilorasertib,,2.0,Abbott Laboratories,,,,1,488.1,5.2,118.1,7,4,6,,"['AURKA', 'AURKB', 'AURKC', 'FLT1', 'PDGFRA', 'PDGFRB']","['Tyr', 'Other']",,,Achiral Molecule,"['A-968660', 'ABT-348', 'Ilorasertib']",,,c1cc(cc(c1)F)NC(=O)Nc2ccc(cc2)c3csc4c3c(ncc4c5cnn(c5)CCO)N,WPHKIQPVPYJNAX-UHFFFAOYSA-N
54,Amcasertib,,2.0,Boston Biomedical,,,,2,539.2,6.0,90.1,5,3,9,,['PDGFRA'],['Tyr'],,,Achiral Molecule,"['BBI-503', 'Amcasertib']",,,CCN(CC)CCNC(=O)c1c(c([nH]c1C)/C=C\2/c3cc(ccc3NC2=O)c4csc(n4)c5ccccc5)C,QDWKGEFGLQMDAM-ULJHMMPZSA-N
55,Amuvatinib,,2.0,Supergen,,,,0,447.1,3.3,75.9,7,1,3,"Amuvatinib is a selective multi-targeted tyrosine kinase inhibitor that suppresses c-MET, c-RET and the mutant forms of c-KIT, PDGFR and FLT3. Amuvati nib also suppresses Rad51 protein, a critical comp\nonent of double-stranded DNA repair in cancer cells.","['KIT', 'MET', 'RET', 'FLT3', 'PDGFRB']",['Tyr'],,,Achiral Molecule,"['MP-470', 'HPK56', 'Amuvatinib', 'HPK-56']",,,c1ccc2c(c1)c3c(o2)c(ncn3)N4CCN(CC4)C(=S)NCc5ccc6c(c5)OCO6,FOFDIMHVKGYHRU-UHFFFAOYSA-N
56,Evobrutinib,,2.0,Merck,MZJ,['6omu'],,0,429.2,4.4,93.4,6,2,7,,['BTK'],['Tyr'],,,,['EVOBRUTINIB'],,,C=CC(=O)N1CCC(CC1)CNc2c(c(ncn2)N)c3ccc(cc3)Oc4ccccc4,QUIWHXQETADMGN-UHFFFAOYSA-N
57,Glesatinib,,2.0,Mirati Therapeutics,,,,2,619.2,6.2,97.4,8,3,11,,"['MET', 'TEK', 'FLT1', 'KDR', 'FLT4', 'MST1R']",['Tyr'],,,Achiral Molecule,"['MG90265H9', 'MG90265gly', 'MGCD265', 'MG90265', 'MG90265X', 'Glesatinib']",,,COCCNCc1ccc(nc1)c2cc3c(s2)c(ccn3)Oc4ccc(cc4F)NC(=S)NC(=O)Cc5ccc(cc5)F,YRCHYHRCBXNYNU-UHFFFAOYSA-N
58,Bemcentinib,,2.0,BerGenBio,,,,1,506.3,4.9,97.8,8,2,4,,['AXL'],['Tyr'],,,,"['BGB324;', 'KEYTRUDA', 'BEMCENTINIB']",,,c1ccc-2c(c1)CCCc3c2nnc(c3)n4c(nc(n4)Nc5ccc6c(c5)CC[C@H](CC6)N7CCCC7)N,KXMZDGSRSGHMMK-VWLOTQADSA-N
59,Gedatolisib,,2.0,Pfizer,,,,1,615.3,3.0,128.3,10,2,7,,"['PIK3CA', 'PIK3CB', 'PIK3CG', 'PIK3CD', 'MTOR']",['Atypical'],,,Achiral Molecule,"['PKI-587', 'Gedatolisib', 'PF-05212384']",,,CN(C)C1CCN(CC1)C(=O)c2ccc(cc2)NC(=O)Nc3ccc(cc3)c4nc(nc(n4)N5CCOCC5)N6CCOCC6,DWZAEMINVBZMHQ-UHFFFAOYSA-N
60,Capivasertib,,2.0,Astrazeneca,0XZ,['4gv1'],,0,428.2,2.1,120.2,6,4,6,,['AKT1'],['AGC'],,,,['AZD-5363'],,,c1cc(ccc1[C@H](CCO)NC(=O)C2(CCN(CC2)c3c4cc[nH]c4ncn3)N)Cl,JDUBGYFRJFOXQC-KRWDZBQOSA-N
61,Telatinib,,2.0,Bayer,,,,0,409.1,4.0,102.2,7,2,6,,"['KDR', 'FLT4']",['Tyr'],,,Achiral Molecule,"['BAY-57-9352', 'Telatinib', 'BAY-579352']",,,CNC(=O)c1cc(ccn1)COc2c3c(cco3)c(nn2)Nc4ccc(cc4)Cl,QFCXANHHBCGMAS-UHFFFAOYSA-N
62,Pilaralisib,,2.0,Sanofi,,,,1,540.1,4.5,148.3,8,4,8,,"['PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3CG']",['Atypical'],,,Achiral Molecule,"['Pilaralisib', 'SAR-245408', 'XL-147']",,,CC(C)(C(=O)Nc1cccc(c1)S(=O)(=O)Nc2c(nc3ccccc3n2)Nc4cc(ccc4Cl)OC)N,QINPEPAQOBZPOF-UHFFFAOYSA-N
63,Bentamapimod,,2.0,PregLem,,,,0,457.2,4.2,84.2,8,0,7,,"['MAPK8', 'MAPK9']",['CMGC'],,,Racemic Mixture,"['PGL-5001', 'Bentamapimod', 'AS-602801']",,,N#CC(c1nc2ccccc2s1)c5nc(OCc3ccc(cc3)CN4CCOCC4)ncc5,XCPPIJCBCWUBNT-UHFFFAOYSA-N
